"yearCombine","Player","Position","Height","Weight","Wingspan","Standing Reach","Lane Agiity","Body Fat %"
2016,"Kevon Looney","PF",80,222.4,87.5,110,NA,11.9
2016,"Trey Lyles","PF",81,241.2,85.5,108,NA,12.1
2016,"Jarell Martin","PF",80,238.6,81,106.5,11.2,10.1
2016,"TJ McConnell","PG",72.5,187.8,74,96.5,10.95,7.3
2016,"Chris McCullough","PF",80.25,199,87.25,109,NA,6.2
2016,"Jordan Mickey","PF",79,238,87.25,106,11.72,7.2
2016,"Larry Nance","PF",79.5,226.6,85.5,108,10.93,6.4
2016,"Kelly Oubre","SF",77.75,202.8,86.25,102.5,11.09,5.7
2016,"Cameron Payne","PG",72.75,182.8,79.25,97.5,10.9,6.3
2016,"Terran Petteway","SG",76.75,209.2,83.25,104.5,10.91,4.9
2016,"Bobby Portis","PF",81.5,246.2,86,108.5,11.78,8.9
2016,"Norman Powell","SG",75,215.4,82.75,102.5,10.69,6.4
2016,"Michael Qualls","SG",76,201.4,84.25,104.5,11.88,4
2016,"Chasson Randle","PG",72.25,178.8,79,96.5,10.63,4.5
2016,"Terry Rozier","PG",72.5,190.2,80.25,98.5,10.84,5.6
2016,"D?Angelo Russell","PG",75.25,193.4,81.75,102,NA,8.3
2016,"Keifer Sykes","PG",70.5,167.2,74,93,10.47,5
2016,"Marcus Thornton","PG",73.75,177.4,79.75,97.5,10.78,5.3
2016,"J.P. Tokoto","SF",77.25,195.8,82,100.5,10.97,4.1
2016,"Myles Turner","C",81.75,238.6,88,112,NA,9.3
2016,"Robert Upshaw","C",82.75,258.2,89.5,113,NA,12.5
2016,"Rashad Vaughn","SG",75.75,198.6,79,101,11.4,6.2
2016,"Chris Walker","PF",80.75,208,86.75,108,11.25,5.1
2016,"Dez Wells","SG",75,208.8,81.5,100.5,10.56,8.1
2016,"Alan Williams","PF",79.25,261.4,85.75,106.5,12.26,12
2016,"Justise Winslow","SF",76.5,221.8,82.25,104.5,NA,5.3
2016,"Christian Wood","PF",81.25,216,87.25,111.5,NA,14.7
2016,"Delon Wright","PG",76.25,181.4,79.5,101.5,11.16,6.6
2017,"Ron Baker","SG",75.25,212.4,81.75,97.5,10.77,7.85
2017,"Wade Baldwin IV","PG",74.5,201.8,83.25,100,10.45,5.2
2017,"Cat Barber","PG",73.5,173,77.5,95.5,NA,4.5
2017,"Malik Beasley","SG",75.5,189.8,79,100.5,NA,6.9
2017,"DeAndre Bembry","SG",76.25,206.6,81.25,101,10.9,7
2017,"Ben Bentil","PF",79.25,229.2,85.5,105,11.16,9.7
2017,"Jaron Blossomgame","SF",78.25,213.6,82,102,11.53,5.25
2017,"Joel Bolomboy","PF",79.5,224.4,85.75,103.5,10.26,5.15
2017,"Malcolm Brogdon","SG",75.75,223,82.5,98,10.77,5.4
2017,"Jaylen Brown","SG",77.25,222.8,83.75,102.5,NA,5.05
2017,"Marquese Chriss","PF",80.75,233,84.25,105,11.93,8.5
2017,"Elgin Cook","SF",77,209.8,82,100.5,NA,6.35
2017,"Isaiah Cousins","PG",75.25,194,78.25,98.5,10.79,4.8
2017,"Deyonta Davis","PF",81.25,237.2,86.5,108.5,NA,9.7
2017,"Cheick Diallo","PF",79.5,218.6,88.5,107.5,11.24,5.6
2017,"Kris Dunn","PG",75,NA,81.5,100,NA,NA
2017,"Henry Ellenson","PF",82,242,86.25,108,NA,11.2
2017,"Perry Ellis","PF",79,217.8,82.25,102,10.73,4.6
2017,"Kay Felder","PG",68.25,177.2,74.5,88.5,11.52,5.8
2017,"Dorian Finney-Smith","SF",78.5,212.6,83.75,105.5,11.01,6.45
2017,"Michael Gbinije","SG",77.5,204.6,79.5,101,11,5.4
2017,"Daniel Hamilton","SG",78.25,197,81,103.5,11.48,5.95
2017,"Josh Hart","SG",76,203.6,80.5,99.5,11.15,5.75
2017,"Nigel Hayes","SF",78.25,245,87,107.5,12.11,10.9
2017,"Buddy Hield","SG",75.75,212.4,81.25,101,NA,6.1
2017,"Justin Jackson","SF",79,193.4,82.75,103.5,11.32,7.6
2017,"Demetrius Jackson","PG",72,193.8,77.5,93,10.81,6.5
2017,"Brice Johnson","PF",81,208.6,84.5,106.5,11.88,7.5
2017,"Damian Jones","C",82.25,243.6,87.75,107,11.35,6.55
2017,"Skal Labissiere","PF",82.5,215.8,86.5,105.5,NA,5.7
2017,"Jake Layman","SF",80,208.6,81.25,102,11.35,7.1
2017,"Caris LeVert","SG",77.75,191,82,101,NA,7.55
2017,"Marcus Lee","PF",81,211,87,107.5,11.68,5.35
