Player,Position,Draft Year,Draft Age,Class,School,Height,Weight,Wingspan,Standing Reach,RSCI Ranking,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,College OBPM,College DBPM,College BPM,Season3 OBPM,Season3 DBPM,Season3 BPM
Terrence Jones,PF,2012,20.47,SO,Kentucky,80.25,252.0,86.25,107.0,10,0.535,0.505,10.133,19.033,14.8,9.232999999999999,2.533,5.867000000000001,12.2,24.333000000000002,504.0,4.867,4.567,9.5,0.7,0.5,1.2
E'Twaun Moore,SG,2011,22.31,SR,Purdue,74.5,191.4,81.5,99.5,24,0.545,0.518,5.1,12.5,8.8,20.9,2.2,1.6,9.8,28.0,573.0,7.1,3.1,10.2,-1.9,0.3,-1.5999999999999999
Kenrich Williams,SF,2018,23.55,SR,TCU,78.0,200.4,79.25,103.5,253,0.564,0.545,10.6,21.129,15.929,16.2,2.657,1.9140000000000001,13.270999999999999,17.957,435.85699999999997,5.629,3.386,9.014,-1.2,0.5,-0.7
Dorian Finney-Smith,SF,2016,23.14,SR,Florida,78.5,212.6,83.75,105.5,23,0.555,0.524,9.471,18.486,13.870999999999999,13.743,1.814,2.786,13.5,23.6,444.0,5.9,3.286,9.1,-1.8,0.4,-1.4
Jaxson Hayes,PF,2019,19.07,FR,Texas,82.25,218.6,87.5,110.5,126,0.7390000000000001,0.728,8.7,16.3,12.5,2.6,1.5,10.6,11.8,17.2,280.0,4.6,5.5,10.1,0.6,-0.3,0.3
Ja Morant,PG,2019,19.86,SO,Murray State,74.5,175.0,78.0,99.0,250,0.598,0.537,4.7,13.633,9.467,45.567,2.333,1.9669999999999999,19.733,29.0,776.3330000000001,6.832999999999999,1.567,8.4,6.2,-0.1,6.1000000000000005
Justise Winslow,SF,2015,19.25,FR,Duke,76.5,221.8,82.25,104.5,14,0.5720000000000001,0.551,5.4,19.8,13.1,13.2,2.8,2.9,14.2,22.9,473.0,5.3,4.6,10.0,-2.2,1.1,-1.1
Grayson Allen,SG,2018,22.7,SR,Duke,75.0,198.0,79.25,97.0,24,0.5820000000000001,0.529,2.18,9.433,5.987,20.147000000000002,2.3,0.3,13.3,22.86,546.133,5.307,2.467,7.787000000000001,-0.2,0.1,-0.1
John Collins,PF,2017,19.75,SO,Wake Forest,80.25,225.2,83.25,106.5,134,0.635,0.597,15.167,22.633000000000003,18.967,4.167,1.2329999999999999,6.067,12.033,27.9,456.0,6.733,0.767,7.433,3.7,-0.6,3.1
Will Barton,SG,2012,21.48,SO,Memphis,77.0,174.4,81.75,102.5,9,0.5589999999999999,0.526,6.867000000000001,17.767,12.567,18.1,2.5669999999999997,1.933,13.933,25.133000000000003,553.6669999999999,5.1,2.467,7.632999999999999,-1.2,1.1,-0.09999999999999987
Damian Lillard,PG,2012,21.95,JR,Weber State,73.75,188.8,79.75,95.5,199,0.635,0.562,1.9,15.8,9.0,27.1,2.5,0.7,10.7,33.0,746.0,9.1,0.7,9.8,4.3,0.3,4.6
